"Story","Title","Result","Date","Stability","Duration (s)"
"Invite vendor using form","User invites already registered vendor","SUCCESS","2019-08-07T19:21:09.4502214+05:30[Asia/Calcutta]","0.0","68.49"
"Invite vendor using form","Invite vendor using form and register using the invitation","SUCCESS","2019-08-07T19:22:17.9400089+05:30[Asia/Calcutta]","0.0","118.44"
